,700
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,283
AIRPORT EXTERIOR - NON-SECURE AREA,134
ALLEY,12525
APARTMENT,59261
CAR WASH,694
CHA APARTMENT,2557
CONVENIENCE STORE,4573
CTA PLATFORM,5007
DRUG STORE,20363
GAS STATION,15399
OTHER RAILROAD PROP / TRAIN DEPOT,1396
PAWN SHOP,177
POLICE FACILITY/VEH PARKING LOT,1208
RESIDENCE,133882
RESTAURANT,32867
SAVINGS AND LOAN,63
VEHICLE - DELIVERY TRUCK,27
AIRCRAFT,224
AIRPORT BUILDING NON-TERMINAL - SECURE AREA,241
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,359
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,30
AIRPORT VENDING ESTABLISHMENT,122
ANIMAL HOSPITAL,127
CEMETARY,123
CHA HALLWAY/STAIRWELL/ELEVATOR,395
CHA PARKING LOT/GROUNDS,1588
CHURCH/SYNAGOGUE/PLACE OF WORSHIP,4483
CLEANING STORE,1214
CTA GARAGE / OTHER PROPERTY,2475
CTA TRAIN,10659
CURRENCY EXCHANGE,1095
DAY CARE CENTER,431
DELIVERY TRUCK,717
HOSPITAL BUILDING/GROUNDS,6213
HOTEL/MOTEL,9120
OTHER,73292
OTHER COMMERCIAL TRANSPORTATION,783
PARK PROPERTY,11237
RESIDENCE PORCH/HALLWAY,18790
VEHICLE - OTHER RIDE SERVICE,40
WAREHOUSE,3198
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,335
ATHLETIC CLUB,5720
ATM (AUTOMATIC TELLER MACHINE),647
COIN OPERATED MACHINE,425
COLLEGE/UNIVERSITY GROUNDS,2551
COLLEGE/UNIVERSITY RESIDENCE HALL,425
CREDIT UNION,89
CTA BUS STOP,1248
CTA STATION,498
CTA TRACKS - RIGHT OF WAY,9
DEPARTMENT STORE,62068
FOREST PRESERVE,76
GOVERNMENT BUILDING/PROPERTY,2637
HIGHWAY/EXPRESSWAY,41
LAKEFRONT/WATERFRONT/RIVERBANK,453
LIBRARY,1968
MEDICAL/DENTAL OFFICE,2087
MOVIE HOUSE/THEATER,969
NURSING HOME/RETIREMENT HOME,2415
PARKING LOT/GARAGE(NON.RESID.),65635
TAVERN/LIQUOR STORE,6218
AIRPORT PARKING LOT,199
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,183
AIRPORT TRANSPORTATION SYSTEM (ATS),34
AIRPORT/AIRCRAFT,5288
APPLIANCE STORE,695
BAR OR TAVERN,12131
COMMERCIAL / BUSINESS OFFICE,15918
CONSTRUCTION SITE,5913
CTA BUS,6608
FEDERAL BUILDING,129
FIRE STATION,480
JAIL / LOCK-UP FACILITY,63
NEWSSTAND,67
RESIDENCE-GARAGE,14135
STREET,354801
TAXICAB,1350
ABANDONED BUILDING,1407
AIRPORT EXTERIOR - SECURE AREA,107
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,650
BANK,4600
BARBERSHOP,1115
BOAT/WATERCRAFT,259
BOWLING ALLEY,269
BRIDGE,33
DRIVEWAY - RESIDENTIAL,5602
FACTORY/MANUFACTURING BUILDING,1588
GROCERY FOOD STORE,51286
POOL ROOM,155
RESIDENTIAL YARD (FRONT/BACK),22863
SIDEWALK,40430
SMALL RETAIL STORE,58503
SPORTS ARENA/STADIUM,1312
VACANT LOT/LAND,3734
VEHICLE NON-COMMERCIAL,32233
VEHICLE-COMMERCIAL,2654
WARN: The method class org.apache.commons.logging.impl.SLF4JLogFactory#release() was invoked.
WARN: Please see http://www.slf4j.org/codes.html#release for an explanation.
